Source,Igbo,Hausa,Yoruba
Strong winds are expected tonight. Secure loose objects outside so they don’t become flying hazards.,A tụrụ anya na nnukwu ifufe ga-eku n'abalị a. Debe ihe ndị na-esighị ike n'èzí ka ha ghara ịghọ ihe ize ndụ na-efe efe.,Ana sa ran yin iska mai ƙarfi a daren yau. Ku tabbata kun kulle kaya marasa nauyi da ke waje don kada su zama haɗari yayin shawagi.,"A ń retí afẹ́fẹ́ tó lagbara lálẹ́ òní. Rí wípé ósétó áâbó fún gbogbo áwón óhun alaimuṣinṣin níta, kí wọ́n má bà á di ewu tó lè fò."
"If you see dark clouds forming fast, take it seriously. Seek shelter before the storm starts, don’t wait till it’s too late.","Ọ bụrụ na ị hụ ka ígwé ojii na-agba n'ike n'ike, were ya ka ihe dị mkpa. Chọọ ebe mgbaba tupu ebili mmiri amalite, e chela ka oge gafee.","Idan kuka ga baƙin hadari yana haɗuwa da sauri, ku ɗauki abin da muhimmanci. Nemi mafaka kafin a fara guguwa, kada ku jira har sai lokaci ya ƙure.","Tó o bá rí i pé àwọn àwọsánmà dúdú ti ń pọ̀ sí i lójú ẹsẹ̀, má fọ̀rọ̀ náà ṣeré rárá. Wá ibi ìsádi kí ìjì náà tó bẹ̀rẹ̀, má ṣe dúró di ìgbà tí ó ti pẹ́ jù."
Falling trees and flying debris can be dangerous. Stay indoors and away from windows during heavy winds.,Osisi ndị dara ada na ihe ndị na-efe efe nwere ike imeru gị ahụ. Nọrọ n'ime ụlọ ma ghara ịga na windo mgbe oké ifufe na-efe.,Bishiyoyi masu faɗuwa da tarkace masu shawagi na iya zama haɗari. Kasance a cikin gida kuma ku nisanci tagogi yayin iska mai ƙarfi.,"Áwón Igí tí ń ṣubú àti àwọn nkan tí afẹ́fẹ́ ń gbé lewu gan. Má ṣe jáde nílé, má sì ṣe sún mọ́ fèrèsé nígbà tí afẹ́fẹ́ bá ń fẹ́ gan-an."
"If you rely on electricity for medical equipment, have a backup plan. Power lines can go down in storms, so be prepared.","Ọ bụrụ na ị chekwubere ọkụ eletrik, nwe atụmatụ ọzọ. Igwe ọkụ eletrik nwere ike ịda n'oge ebili mmiri, n'ihi ya, kwado onwe gị.","Idan kun dogara ne da wutar lantarki wurin amfani da na'urorin kula da lafiya, ku tanadi madadinta. Wayoyin wuta na iya yankewa yayin guguwa, don haka ku shirya.","Tí o bá ń lo ẹrọ ìtọ́jú tó ń ṣiṣẹ́ pẹ̀lú ina, o gbọ́dọ̀ ṣètò bó o ṣe máa lò wọ́n. Àwọn okun ina lè jà ni ákókó ìjì, torí náà,  murá sile."
"Storms can disrupt mobile networks. If you need help, send text messages instead of calling, it uses less battery and is more reliable.","Ebili mmiri nwere ike ịghasa netwọk ekwentị. Ọ bụrụ na ị chọrọ enyemaka, detuo ozi ị ga-ezi n'ekwentị gị kama ịkpọba mmadụ, ọ naghị eri oke batrị ma bụrụ nke e nwere ike ịdabekarịsị.","Guguwa na iya jawo cikas ga hanyoyin sadarwa na wayar hannu. Idan kuna buƙatar taimako, aika saƙo na rubutu maimakon kira, saboda yana jan caji ɗan kaɗan kuma ya fi tabbaci.","Ìjì líle lè fa idalọwọduro si awọn nẹtiwọọki. Tí o bá nílò ìrànlọ́wọ́, á yárá kó ló óró àkọráńṣẹ́ ju kó pé, nítórípé ó máa n lo batiri kékeré, ó sì dájú jù."
"The sun is scorching today! Wear a hat, drink plenty of water, and avoid working outside for too long.","Anwụ na-achasi ike taa! Kpuru okpu, ṅụọ mmiri nke ọma ma zere ịrụ ọrụ n'èzí ruo ogologo oge.","Rana ta yi matuƙar zafi yau! Saka hula, sha ruwa sosai, ku kuma guji yin aiki a waje na dogon lokaci.","Oòrùn yìí gbóná gán léní! Wọ fìlà, mu omi púpọ̀, má sì ṣe máa ṣiṣẹ́ níta fún àkókò gígùn."
"With little rain expected this month, water sources may dry up. Conserve what you have and use it wisely.","Ebe ọ bụ na a tụrụ anya obere mmiri ozuzo n'ọnwa a, isi iyi mmiri nwere ike ikpọnwụ. Chekwaa ihe i nwere ma jiri ya mee ihe n'ụzọ dị mma.","Yayin da ake sa ran samun ƙarancin ruwan sama a wannan watan, madatsan ruwa na iya bushewa. Adana ruwan da kuke da shi kuma ku yi amfani da shi cikin hikima.","Níwọ̀n bí ìròyìn bá ṣe sọ pé òjò kéré ni a máa ní lósù yìí, orísun omi le gbẹ. Ṣọ́ omi rẹ dáadá, kó o sì máa lò ó lọ́nà tó bọ́gbọ́n mu."
Extreme heat can damage crops. Farmers should irrigate early in the morning or late in the evening to reduce water loss.,Oké okpomọkụ pụrụ imebi ihe ọkụkụ. Ndị ọrụ ugbo kwesịrị ịgbara ya mmiri n'isi ụtụtụ maọbụ n'uhuruchi iji belata ọnwụ mmiri.,Zafi mai tsanani na iya lalata amfanin gona.Ya kamata manoma su yi ban-ruwa da sassafe ko da yamma don rage tsoteswa da bushewar ruwa.,Ooru tó ń mú gan-an lè ba irè oko jẹ́. Àwọn àgbẹ̀ gbọ́dọ̀ máa bomi rinlẹ̀ láàárọ̀ kùtùkùtù tàbí nírọ̀lẹ́ kí wọ́n má bàa pàdánù omi.
Prolonged heat and no rain can lead to bushfires. Avoid burning waste near dry grass or farmlands.,Okpomọkụ nọtere aka na enweghị mmiri ozuzo nwere ike ime ka ọhịa gbaa ọkụ. Zere ịsụ ahịhịa ọkụ n'akụkụ ala kpọrọ nkụ maọbụ n'ebe a na-akọ ihe.,Zafi mai tsawo da rashin ruwan sama na iya haddasa gobarar daji. Guji ƙona shara kusa da ciyawa ko gonaki busassu.,Ooru tó ń mú gan-an àti òjò tí kò rọ̀ lè fa iná igbó. Má ṣe sun ìdọ̀tí nítòsí koríko gbígbẹ tàbí ilẹ̀ oko.
"If you start feeling weak or dizzy under the sun, stop and rest. It could be heat exhaustion, get water and shade immediately.","Ọ bụrụ na ajụ na-ebu gị maọbụ ahụ esighị gị ike mgbe ị nọ n'okpuru anwụ, kwụsị ma zuo ike. O nwere ike ịbụ ike ọgwụgwụ n'ihi okpomọkụ, ṅụọ mmiri ma nọdụ na ndo ozugbo.","Idan kuka fara jin kasala ko jiri lokacin da kuke cikin rana, ku tsaya ku huta. Wataƙila zafin rana ne ya rinjaye ku, ku sha ruwa ku shiga inuwa nan da nan.","Tó o bá bẹ̀rẹ̀ sí í rẹ̀wẹ̀sì tàbí kí óyí má kó é nínú oorun, dáwọ̀ dúró kí o sinmi. Ó lè jẹ́ ìfarapa ooru, wa omi àti íbójí lọ lẹsẹkẹsẹ."
"More rain is expected tonight, and the ground is already soaked. If your area floods easily, plan ahead, don’t wait till water enters your home.","A tụrụ anya na mmiri ga-ezo ọzọ n'abalị a, mmiri ejuola n'ala. Ọ bụrụ na ebe i bi na-adọ mmiri ọsịsọ, tụọ arọ n'oge, e chela ka mmiri banye bee gị.","Ana sa ran ƙarin ruwan sama mai yawa da daddare, kuma har ƙasa ta riga ta jiƙe. Idan yankinku na da saurin yin ambaliya, ku fara shiri tun wuri, kada ku jira har sai ruwa ya shigo gidanku.","Òjò á tún rọ̀ lálẹ́ yìí, ilẹ̀ sì ti rin gbingbin. Bí omi bá máa ń bo àdúgbò rẹ, ṣètò ṣáájú, má ṣe dúró dìgbà tí omi bá wọlé rẹ."
"Blocked gutters and drains make flooding worse. If you can, clear the ones around you before the rain starts. Small actions save lives.","Ụsọ mmiri e mechiri emechi na-eme ka ide kawanye njọ. Ọ bụrụ na i nwere ike, kpochapụ ndị gbara gị gburugburu tupu mmiri amalite izo. Obere omume na-azọpụta ndụ.","Tosassun kwatoci na ƙara munin ambaliya. Idan zaku iya, ku share waɗanda ke kusa da ku kafin a fara ruwan sama. Ƙananan matakai kan tsare rayuka.","Àwọn ọ̀nà abẹ́lẹ̀ tó ti dí máa ń mú kí àkúnya omi túbọ̀ burú sí i. Tó o bá lè ṣe é, kọ́kọ́ yọ àwọn tó wà nítòsí rẹ kúrò kí òjò tó bẹ̀rẹ̀. Àwọn ìgbésẹ̀ kéékèèké máa ń gba ẹ̀mí là."
"If floodwaters enter your home, turn off gas and electricity immediately. It could prevent a fire or electric shock. Stay safe.","Ọ bụrụ na ide mmiri abanye n'ụlọ gị, gbanyụọ gas na ọkụ eletrik ozugbo. Ọ nwere ike igbochi ọkụ maọbụ eletrik ịdọgbi gị. Zọrọ onwe gị..","Idan ruwan ambaliya ya shiga gidanku, kashe gas da wutar lantarki nan da nan. Hakan na iya hana gobara ko shokin ɗin wutar lantarki. Kasance cikin aminci.","Tó bá ṣẹlẹ̀ pé omíyalé wọnú ilé rẹ, tètè pa gáàsì àti iná. Ó lè dènà iná tàbí ìkọlù ẹ̀lẹ́tírìkì. Gbìyànjú láti wà ní ààbò."
"Flooding has increased mosquito breeding. Protect yourself, use nets, cover exposed skin, and clear stagnant water around your home.","ide mmiri emewo ka anwụnta na-amụba. Chebe onwe gị, jiri ụgbụ, yichie ahụ gị ma hichaa mmiri na-adọ adọ dị n'akụkụ be gị.","Ambaliya ta ƙara yawan sauro. Kare kanku, yi amfani da gidan sauro, rufe fatar jikinku, ku kuma share ruwan da ke tare kusa da gidanku.","Ìkún omi ti mú kí àwọn ẹ̀fọn pọ̀ sí i. Dáàbò bo ara rẹ, lo àwọ̀n, bo awọ ara ti o farahan, yọ omi tó ti dúró sójú kan kúrò ní àyíká ilé rẹ."
"Heavy rain can cause sudden road collapses. Drive carefully, and avoid shortcuts you’re unsure about.","Nnukwu mmiri ozuzo nwere ike ime ka okporo ụzọ mebie n'ike. Uche gị dị ya ma ị na-anya ụgbọala, ma zere nkenke ụzọ ị na-amaghị nke ọma.","Ruwan sama mai ƙarfi na iya haddasa lalacewar hanya kwatsam. Yi tuƙi cikin kula, ku guji hanyoyin ratse da ba ku tabbata da amincinsu ba.","Òjò tó rọ̀ gan-an lè mú kí ojú ọ̀nà ya lulẹ̀ lójijì. Máa ṣọ́ra bó o bá ń wakọ̀, má sì ṣe gba àwọn ọ̀nà kéékèèké tí kò dá ẹ lójú."
"Flooded water wells can be contaminated. If your water smells or tastes unusual, boil it before drinking or use bottled water.","E nwere ike imeru omi ide mmiri dọjụrụ na ya. Ọ bụrụ na ọ nwere ka mmiri ị na-aṅụ si atọ maọbụ esi, sie ya n'ọkụ tupu ị ṅụọ ya maọbụ ị zụta mmiri a na-ere na karama plastik.","Ruwan rijiyoyin da ruwan ambaliya ya shiga na iya gurɓata. Idan ruwanku  yana wari ko ɗanɗanon da ba a saba ji ba, tafasa kafin ku sha ko kuna shan ruwan roba.","Àwọn kànga tí omi kún inú wọn lè di eléèérí. Tó o bá rí i pé òórùn omi rẹ kò bára dé tàbí pé ó rí bákan lẹ́nu, se kó o tó mu tàbí kó o lo omi inú ìgò rọ́bà."
"Rescue teams may take time to reach flooded areas. If you must evacuate, do so early when it’s still safe.","Ndị ọrụ nnapụta nwere ike igbu oge tupu ha eruo n'ebe ndị mmiri tojuru. Ọ bụrụ na ị ghaghị ịpụ, mee ya n'oge mgbe ọ ka bụ ihe ize ndụ.","Masu ceto na iya jinkiri wajen isa wuraren da aka yi ambaliya. Idan dole sai kun ƙaura, to ku yi hakan da wuri tun komai yana lafiya.","Ó lè pẹ́ díẹ̀ kí àwọn Ẹgbẹ́ Olùgbàlà tó lè dé ibi tí omi ti ya wọlé. Tó bá di dandan pé kó o fi ibẹ̀ sílẹ̀, tètè lọ, nígbà tí kò sí ewu."
Flooded roads can hide deep holes. Even shallow-looking water can be dangerous. Find another route if possible.,E nwere ike inwe olulu miri emi n'okporo ụzọ ndị ide mmiri jupụtara. Ọbụna mmiri na-emighị emi pụrụ ịdị ize ndụ. Chọta ụzọ ọzọ ma ọ bụrụ na ọ ga-ekwe omume.,Hanyoyin da ruwa ya mamaye na iya ɓoye rami mai zurfi. Hatta ruwa kaɗan da kuka raina na iya zama mai haɗari. Canza hanya idan zai yiwu.,"Àwọn ọ̀nà tó ti kún àkúnya lè ní àwọn kòtò tó jìn. Kódà omi tó dà bíi pé kò jinlẹ̀ pàápàá lè léwu. Tó bá ṣeé ṣe, wá ọ̀nà míì."
"If your home is at risk of landslides during heavy rain, don’t sleep near weak walls. Move to a safer part of the house or stay elsewhere for the night.","Ọ bụrụ na ala nwere ike ịda n'ụlọ gị n'oge oké mmiri ozuzo, elela anya n'akụkụ mgbidi ndị na-esighị ike. Gaa n'ebe dị nchebe karị n'ụlọ maọbụ nọrọ ebe ọzọ n'abalị.","Idan gidanku yana cikin hatsarin zabtarowar ƙasa yayin ruwan sama, kada ku kwana kusa da bangon da ba shi da ƙarfi. Ku koma inda ya fi aminci a cikin gidan ko kada ku kwana a gidan gaba ɗaya.","Bí ilé rẹ bá wà ní ewu ìmìtìtì ilẹ̀ nígbà tí òjò bá ń rọ̀ gan-an, má ṣe sùn nítòsí ògiri tí kò lágbára. Máa lọ síbi tí kò fi bẹ́ẹ̀ léwu nínú ilé tàbí kó o lọ sùn níbòmíì."
"Farmers should take extra care. Prolonged rainfall can damage crops, check drainage and protect seedlings.","Ndị ọrụ ugbo kwesịrị ịkpachara anya karị. Mmiri na-ezo ogologo oge nwere ike imebi ihe ọkụkụ, gbochie drainage ma chebe mkpụrụ.",Ya kamata manoma su ƙara kula sosai. Ruwan sama mai tsawo na iya lalata amfanin gona. A duba magudanan ruwa a kuma kare sabbin shuke-shuke.,"Ó yẹ kí àwọn àgbẹ̀ máa ṣọ́ra gan-an. Òjò tó ń rọ̀ fún àkókò gígùn lè ba irè oko jẹ́, ṣàyẹ̀wò ọ̀nà tí omi ń gbà ṣàn, kó sì dáàbò bo àwọn ọ̀gbìn."
"If your home is flooding, turn off the electricity at the main switch. Water and electricity are a deadly mix, stay safe.","Ọ bụrụ na mmiri na-eju n'ụlọ gị, gbanyụọ ọkụ eletrik n'ebe isi ọkụ eletrik dị. Mmiri na ọkụ eletrik bụ ngwakọta na-egbu egbu, nọrọ na nchebe.","Idan ambaliya ta mamaye gidanku, kashe wutar lantarki daga babbar makunnar wutar gidan. Ruwa da wuta haɗari ne idan suka haɗu. A kiyaye.","Bí omi bá ń bo ilé rẹ, pa iná mànàmáná tó wà níbẹ̀. Omi àti iná mànàmáná máa ń ṣekú pani, ẹ ṣọ́ra."
"Be careful where you step after flooding. Snakes, sharp objects, and hidden holes can cause serious injury. Walk with caution.","Kpachara anya n'ebe ị na-azọ mgbe ide mmiri gasịrị. Agwọ, ihe ndị dị nkọ, na oghere ndị zoro ezo pụrụ imerụ mmadụ ahụ́ nke ukwuu. Jiri nlezianya na-eje ije.",Ku lura da inda kuke takawa bayan gama ambaliya. Macizai da abubuwa masu kaifi da ɓoyayyaun ramuka na iya cutar da ku. Yi tafiya cikin kula.,"Ṣọ́ra bó o ṣe ń rìn lẹ́yìn tí òjò bá ti rọ̀. Àwọn ejò, àwọn ohun abẹ̀rẹ́, àtàwọn ihò tó fara sin lè ṣe èèyàn léṣe gan-an. Máa ṣọ́ra bó o ṣe ń rìn."
"Food and water may be contaminated after floods. Boil drinking water, and check food properly before eating. Your health comes first.","A pụrụ imerụ nri na mmiri mgbe ide mmiri gasịrị. Mee ka mmiri ị na-aṅụ sie ike, leekwa nri anya nke ọma tupu i rie ya. Ahụ ike gị na-ebute ụzọ.","Abinci da ruwa na iya gurɓata bayan gama ambaliya. Tafasa ruwan sha, kuma ku duba abinci sosai kufin ku ci. Lafiyarku ta fi komai.","Oúnjẹ àti omi lè di ẹlẹ́gbin lẹ́yìn omíyalé. Máa se omi tó o máa mu, kó o sì máa yẹ oúnjẹ wò dáadáa kó o tó jẹ ẹ́. Ìlera rẹ ló ṣe pàtàkì jù."
"Bridges and roads may be weak after heavy rain. If you’re unsure about a path, wait for authorities to confirm it’s safe.","Nnukwu mmiri ozuzo zosịa, akwà mmiri na okporo ụzọ nwere ike, ha agaghị esi ike. Ọ bụrụ na ị maghị ụzọ ị ga-esi gaa ebe ahụ, chere ka ndị ọchịchị mara ma ebe ahụ ọ dị mma ịgafee.","Gadoji da hanyoyi na iya raunana bayan ruwan sama mai yawa. Idan baku da tabbaci game da amincin wata hanya, ku jira hukumomi su tabbatar da amincinta.","Àwọn afárá àtàwọn ojú ọ̀nà lè má ṣiṣẹ́ dáadáa lẹ́yìn òjò tó rọ̀. Bí o kò bá mọ ọ̀nà tó o máa gbà, dúró dìgbà tí àwọn aláṣẹ bá sọ fún ẹ pé kò léwu."
"Listen for updates from local officials. Weather can change quickly, and it’s better to get information early than to be caught off guard.","Gee ntị n'ozi ndị ọchịchị obodo na-ezi gị. Ọnọdụ ihu igwe nwere ike ịgbanwe ọsịsọ, ọ dịkwa mma inweta ihe ozi n'oge karịa ịda na mberede.","Kuna sauraron sabbin bayanai daga hukumomi na cikin gida. Yanayi na iya sauyawa cikin sauri, kuma yana da kyau a sami bayanai da wuri don a shirya kan lokaci.","Fetí sí àwọn òṣìṣẹ́ ìjọba tó wà ládùúgbò. Ojú ọjọ́ lè yí padà kíákíá, ó sì dára láti tètè rí ìsọfúnni gbà ju kí o má tètè mọ̀."
Don’t leave animals or children in parked cars. Temperatures inside can rise dangerously fast. A quick stop can turn deadly.,A hapụla ụmụ anụmanụ maọbụ ụmụaka n'ụgbọala ndị a dọwara adọwa. Ọnọdụ okpomọkụ dị n'ime ụgbọala ahụ nwere ike ịrị ọsịsọ. Ịkwụsị ngwa ngwa nwere ike ibute ọnwụ.,Kada ku bar dabbobi ko yara a cikin motocin da ke ajiye. Zafin cikin su na iya ƙaruwa cikin tsananin sauri. Tsayawa kaɗan na iya zama mai haɗari.,Má ṣe fi àwọn ẹranko tàbí àwọn ọmọ sílẹ̀ nínú ọkọ̀ tó dúró. Ooru tó wà nínú ọkọ̀ náà lè tètè pọ̀ gan-an. Ìdákẹ́kọ̀ọ́ ráńpẹ́ lè yọrí sí ikú.
"If you feel tired, confused, or stop sweating, get help immediately. These are signs of heat exhaustion. Rest, drink water, and cool down.","Ọ bụrụ na ike gwụrụ gị, obi erughị gị ala, maọbụ ọsụsọ akwụsị, chọọ enyemaka ozugbo. Ihe ndị a bụ ihe ịrịba ama nke ike ọgwụgwụ n'ihi okpomọkụ. Zuo ike, ṅụọ mmiri, ma nọdụ ebe ikuku dị.","Idan kuna jin gajiya ko kun rikice ko kun daina zufa, nemi taimako nan da nan. Waɗannan alamun jin zafi mai tsanani ne. Huta, sha ruwa, kuma ku sarara.","Tó o bá rí i pé ó ti rẹ̀ ẹ́ tẹnutẹnu, tàbí tí ara rẹ ò dá gbọ̀ọ̀rọ̀-gbọọrọ mọ́, tètè wá ìrànlọ́wọ́. Àwọn àmì yìí fi hàn pé ooru ti mú kó rẹ̀ ẹ́. Máa sinmi, máa mu omi, kó o sì wá bó o ṣe máa tu ara rẹ lára."
Keep windows open at night if it’s safe to do so. Let in fresh air and cool down your home naturally.,Mee ka windo ghere oghe n'abalị ma ọ bụrụ na ọ nweghị ihe ọjọọ ọbụla ga-emenwu gị. Mee ka ikuku bata n'ụlọ gị ma mee ka ụlọ gị juo oyi.,Ku bar tagogi a buɗe da daddare idan hakan ba matsala. Bar tsaftatacciyar iska ta shigo don sanyaya gidan.,"Jẹ́ kí fèrèsé wà ní ṣíṣí ní òru bí kò bá léwu láti ṣe é. Jẹ́ kí afẹ́fẹ́ tútù wọlé, kí ilé rẹ sì tutù."
"Drink more water than usual today. Even if you’re not thirsty, staying hydrated helps your body handle the heat better.","Taa, ṅụọ mmiri karịa ka ị na-aṅụbu. Ọ bụrụgodi na mmiri anaghị agụ gị, ịṅụ mmiri na-enye ahụ gị aka ịnagide okpomọkụ nke ọma.","Sha ruwa yau fiye da yadda kuka saba. Ko ba kwa jin ƙishirwa, kasancewa da ruwa a jiki na taimaka wa jikinku ya daidaita zafi.","Mu omi púpọ̀ ju bó ṣe yẹ lọ lónìí. Kódà bí òùngbẹ ò bá tiẹ̀ gbẹ ẹ́, tó o bá ń mu omi dáadáa, ara rẹ á lè fara da ooru náà dáadáa."
People with asthma and respiratory issues should stay indoors as much as possible. Heat and dust can trigger breathing problems.,Ndị nwere ụkwara ume ọkụ na nsogbu iku ume kwesịrị ịnọ n'ime ụlọ oge ọbụla o kwere mee. Okpomọkụ na uzuzu nwere ike ibute nsogbu iku ume.,Ya kamata masu cutar asma da matsalolin numfashi suna yawan zama a gida sosai. Zafi da ƙura na iya tayar da matsalolin numfashi.,Àwọn ènìyàn tí ó ní àrùn ikọ́ fée àti àwọn ìṣòro òdòdó èémí ní láti dúró nínú ilé bí ó bá ti lè ṣeé ṣe. Ooru àti eruku lè fa ìṣòro mímí.
